Latitude,Longitude,region,river_distance
14,77.4,train,125239.6442
14,77.5,train,299647.6001
14,77.6,train,312500.1647
14,77.7,train,342842.8562
14,77.8,train,221669.5724
14,77.9,train,101812.6327
14,78,train,234207.8119
14,78.1,train,388413.7323
14,78.2,train,260938.9604
14,78.3,train,302464.0736
14,78.4,train,148133.0495
14.1,75,train,250694.5754
14.1,75.1,train,263169.8258
14.1,75.2,train,276629.2594
14.1,75.3,train,270999.8268
14.1,75.4,train,213214.4883
14.1,75.5,train,218418.42
14.1,75.6,train,150055.3502
14.1,75.7,train,194428.9622
14.1,75.8,train,249692.978
14.1,75.9,train,257805.6732
14.1,76,train,246203.0169
14.1,76.1,train,401980.7195
14.1,76.2,train,274540.6689
14.1,76.3,train,282006.3005
14.1,76.4,train,335571.6303
14.1,76.5,train,266045.1854
14.1,76.6,train,249492.1702
14.1,76.7,train,336059.9222
14.1,76.8,train,141005.7547
14.1,76.9,train,128510.2604
14.1,77,train,216398.3174
14.1,77.1,train,182192.9871
14.1,77.2,train,323196.8259
14.1,77.3,train,324501.447
14.1,77.4,train,115876.6473
14.1,77.5,train,112979.7901
14.1,77.6,train,319955.7093
14.1,77.7,train,152794.2144
14.1,77.8,train,119975.0526
14.1,77.9,train,139691.6678
14.1,78,train,412529.3248
14.1,78.1,train,131731.4733
14.1,78.2,train,385000.5485
14.1,78.3,train,244069.5223
14.1,78.4,train,381128.2763
14.2,75,train,245241.8906
14.2,75.1,train,164890.8672
14.2,75.2,train,171747.9575
14.2,75.3,train,178433.7339
14.2,75.4,train,279102.6762
14.2,75.5,train,216703.9308
14.2,75.6,train,251076.6951
14.2,75.7,train,166731.8786
14.2,75.8,train,287634.3575
14.2,75.9,train,217849.9067
14.2,76,train,227955.3871
14.2,76.1,train,252349.2218
14.2,76.2,train,227078.8529
14.2,76.3,train,78413.34438
14.2,76.4,train,179896.8313
14.2,76.5,train,265540.7715
14.2,76.6,train,270113.9899
14.2,76.7,train,267651.177
14.2,76.8,train,288207.9584
14.2,76.9,train,85878.36917
14.2,77,train,299626.2884
14.2,77.1,train,289387.9423
14.2,77.2,train,338278.2771
14.2,77.3,train,100902.0397
14.2,77.4,train,309402.4974
14.2,77.5,train,125803.3623
14.2,77.6,train,187982.3054
14.2,77.7,train,304266.7583
14.2,77.8,train,356291.9703
14.2,77.9,train,267429.3808
14.2,78,train,244392.0754
14.2,78.1,train,149010.4782
14.2,78.2,train,359775.8068
14.2,78.3,train,373495.0786
14.2,78.4,train,385503.4234
14.3,75,train,25537.75691
14.3,75.1,train,326562.674
14.3,75.2,train,252744.6215
14.3,75.3,train,240591.6989
14.3,75.4,train,373133.29
14.3,75.5,train,313637.8568
14.3,75.6,train,306220.6761
14.3,75.7,train,203710.6849
14.3,75.8,train,305435.816
14.3,75.9,train,254304.898
14.3,76,train,255320.4053
14.3,76.1,train,397721.6782
14.3,76.2,train,217226.1771
14.3,76.3,train,260806.3052
14.3,76.4,train,94092.15531
14.3,76.5,train,334986.3049
14.3,76.6,train,179738.1531
14.3,76.7,train,273546.381
14.3,76.8,train,120738.9705
14.3,76.9,train,193737.9357
14.3,77,train,147304.458
14.3,77.1,train,298183.0157
14.3,77.2,train,285882.4722
14.3,77.3,train,341584.0954
14.3,77.4,train,337403.6446
14.3,77.5,train,162870.9861
14.3,77.6,train,327879.7022
14.3,77.7,train,312467.2925
14.3,77.8,train,116452.525
14.3,77.9,train,154697.4765
14.3,78,train,360641.0069
14.3,78.1,train,312639.981
14.3,78.2,train,286277.7998
14.3,78.3,train,162559.181
14.3,78.4,train,122215.5773
14.4,75,train,262935.8632
14.4,75.1,train,214468.2275
14.4,75.2,train,138083.6293
14.4,75.3,train,252762.7235
14.4,75.4,train,215312.2574
14.4,75.5,train,236635.5336
14.4,75.6,train,267416.5174
14.4,75.7,train,134476.3855
14.4,75.8,train,261271.0886
14.4,75.9,train,238129.2929
14.4,76,train,272638.3838
14.4,76.1,train,265691.5234
14.4,76.2,train,338474.643
14.4,76.3,train,339706.8137
14.4,76.4,train,198858.2796
14.4,76.5,train,176322.8913
14.4,76.6,train,231694.002
14.4,76.7,train,200763.6515
14.4,76.8,train,297295.2985
14.4,76.9,train,316529.4293
14.4,77,train,308461.0508
14.4,77.1,train,320438.465
14.4,77.2,train,321534.1675
14.4,77.3,train,222655.9371
14.4,77.4,train,155710.9479
14.4,77.5,train,352533.9517
14.4,77.6,train,208621.6053
14.4,77.7,train,39661.9451
14.4,77.8,train,311879.8643
14.4,77.9,train,47781.6793
14.4,78,train,170492.3111
14.4,78.1,train,164486.8909
14.4,78.2,train,169989.0581
14.4,78.3,train,403072.8361
14.4,78.4,train,258113.8067
14.5,75,train,284356.2091
14.5,75.1,train,283011.1955
14.5,75.2,train,291192.5003
14.5,75.3,train,288433.8928
14.5,75.4,train,149995.2148
14.5,75.5,train,217521.6668
14.5,75.6,train,132494.4425
14.5,75.7,train,139595.6516
14.5,75.8,train,307217.606
14.5,75.9,train,230602.1335
14.5,76,train,161188.6639
14.5,76.1,train,163251.7924
14.5,76.2,train,64555.2682
14.5,76.3,train,111823.303
14.5,76.4,train,321701.9342
14.5,76.5,train,307668.3356
14.5,76.6,train,202603.0164
14.5,76.7,train,288688.9142
14.5,76.8,train,237183.9254
14.5,76.9,train,236814.4768
14.5,77,train,306750.1046
14.5,77.1,train,366218.2172
14.5,77.2,train,170816.1179
14.5,77.3,train,504314.3946
14.5,77.4,train,391607.8458
14.5,77.5,train,76722.22595
