Latitude,Longitude,rainfall,temperature,clay,sand,silt,river_distance,Elevation,Slope,Flood_Index,Flood_Score
12.5,78.4,4.535123288,24.19769863,308,411,282,111468.9128,459,89.96816254,0.448980127380302,3
12.6,75.0,10.67827397,26.88180822,341,470,189,67710.65917,61,89.99762726,0.7422624648929995,3
12.6,75.1,10.67827397,26.88180822,302,479,219,234246.4676,76,89.99790955,0.6838194156303687,3
12.6,75.2,10.67827397,26.88180822,298,484,218,49962.64472,109,89.99116516,0.7366988291566925,3
12.6,75.3,10.67827397,26.88180822,271,529,200,99066.70546,117,89.9899292,0.7119002785538511,3
12.6,75.4,7.83690411,23.51619178,268,533,199,20911.23118,204,89.99601746,0.6152326512202078,3
12.6,75.5,7.83690411,23.51619178,274,540,186,66651.62795,203,89.99808502,0.6005135974646569,3
12.6,75.6,7.83690411,23.51619178,279,537,185,41071.1445,159,89.99475861,0.6146775122947647,3
12.6,75.7,7.83690411,23.51619178,323,362,314,62134.20574,1235,89.9973526,0.5079031042018227,3
12.6,75.8,7.83690411,23.51619178,332,368,300,103258.906,1139,89.9985733,0.5063886351610125,3
12.6,75.9,7.83690411,23.51619178,281,366,353,63828.72865,1032,89.99549866,0.5276181851800934,3
12.6,76.0,4.984246575,22.84419178,328,395,276,117829.7244,861,89.9899292,0.42024503119360535,3
12.6,76.1,4.984246575,22.84419178,354,421,225,110288.5416,804,89.98575592,0.4279714945579231,3
12.6,76.2,4.984246575,22.84419178,328,418,254,121568.7452,833,89.99375153,0.4192785871159456,3
12.6,76.3,4.984246575,22.84419178,300,463,237,96032.13395,813,89.98575592,0.42115305769277506,3
12.6,76.4,4.984246575,22.84419178,377,362,261,61858.58318,762,89.99604797,0.45820548097481806,3
12.6,76.5,4.984246575,22.84419178,0,0,0,108769.199,789,89.96816254,0.3789433367851734,2
12.6,76.6,4.696109589,23.84473973,334,402,264,117341.9698,863,89.9949646,0.4085889943949352,2
12.6,76.7,4.696109589,23.84473973,325,438,236,148053.0604,788,89.99116516,0.40206097861310486,2
12.6,76.8,4.696109589,23.84473973,327,455,218,151496.5683,721,89.9899292,0.40682735780170454,2
12.6,76.9,4.696109589,23.84473973,376,335,288,128299.3837,706,89.97748566,0.43648142297680426,3
12.6,77.0,4.696109589,23.84473973,351,374,275,128382.3128,645,89.98873901,0.43631860159185804,3
12.6,77.1,4.696109589,23.84473973,362,375,263,80514.43435,643,89.98575592,0.4523316491215851,3
12.6,77.2,3.90090411,23.8090411,315,418,267,76997.21376,644,89.97748566,0.41274323246509076,3
12.6,77.3,3.90090411,23.8090411,273,482,245,196072.2297,773,89.99362946,0.3477255276596029,1
12.6,77.4,3.90090411,23.8090411,317,418,265,189184.1772,643,89.98937988,0.3778114239065756,2
12.6,77.5,3.90090411,23.8090411,308,442,251,238914.087,676,89.9899292,0.35430294048091815,1
12.6,77.6,3.90090411,23.8090411,300,477,223,248770.0057,963,89.99714661,0.31149208060572176,1
12.6,77.7,3.90090411,23.8090411,321,432,247,40992.82536,888,89.97748566,0.3935778699095416,2
12.6,77.8,3.90090411,23.8090411,331,442,227,223184.371,897,89.99834442,0.3347418281431943,1
12.6,77.9,4.535123288,24.19769863,314,449,237,192919.6165,834,89.99648285,0.37393487779027235,2
12.6,78.0,4.535123288,24.19769863,303,441,256,65931.77509,717,89.97748566,0.42792796885419276,3
12.6,78.1,4.535123288,24.19769863,291,461,248,175384.7761,647,89.99475861,0.3981300776162469,2
12.6,78.2,4.535123288,24.19769863,283,449,268,212716.3308,592,89.99921417,0.3939670198837103,2
12.6,78.3,4.535123288,24.19769863,301,430,269,176924.3584,532,89.97748566,0.41646459791004087,3
12.6,78.4,4.535123288,24.19769863,327,401,272,101715.2312,574,89.99452972,0.4411783718332795,3
12.7,75.0,10.67827397,26.88180822,334,495,171,69478.08879,131,89.998703,0.72934355967368,3
12.7,75.1,10.67827397,26.88180822,299,475,226,35600.51291,120,89.99604797,0.7412205702313384,3
12.7,75.2,10.67827397,26.88180822,311,451,238,29487.90098,135,89.99116516,0.7456728853972835,3
12.7,75.3,10.67827397,26.88180822,313,438,249,89269.41317,101,89.99714661,0.7329195352834709,3
12.7,75.4,7.83690411,23.51619178,269,492,239,136430.1537,95,89.9899292,0.5977388454951423,3
12.7,75.5,7.83690411,23.51619178,270,473,257,74384.05868,125,89.9984436,0.6163444292656313,3
12.7,75.6,7.83690411,23.51619178,290,513,197,132297.6449,145,89.99681091,0.5918674756188952,3
12.7,75.7,7.83690411,23.51619178,359,440,202,292909.2553,577,89.99902344,0.5059605273688045,3
12.7,75.8,7.83690411,23.51619178,321,378,301,73197.10039,1005,89.99755096,0.529465094165074,3
12.7,75.9,7.83690411,23.51619178,314,366,320,120176.886,1031,89.99643707,0.5127382693059559,3
12.7,76.0,4.984246575,22.84419178,289,427,284,95604.28029,946,89.99557495,0.40957242726951526,2
