Latitude,Longitude,rainfall,temperature
12.7,75.3,10.67827397,26.88180822
12.7,75.4,7.83690411,23.51619178
12.7,75.5,7.83690411,23.51619178
12.7,75.6,7.83690411,23.51619178
12.7,75.7,7.83690411,23.51619178
12.7,75.8,7.83690411,23.51619178
12.7,75.9,7.83690411,23.51619178
12.7,76,4.984246575,22.84419178
12.7,76.1,4.984246575,22.84419178
12.7,76.2,4.984246575,22.84419178
12.7,76.3,4.984246575,22.84419178
12.7,76.4,4.984246575,22.84419178
12.7,76.5,4.984246575,22.84419178
12.7,76.6,4.696109589,23.84473973
12.7,76.7,4.696109589,23.84473973
12.7,76.8,4.696109589,23.84473973
12.7,76.9,4.696109589,23.84473973
12.7,77,4.696109589,23.84473973
12.7,77.1,4.696109589,23.84473973
12.7,77.2,3.90090411,23.8090411
12.7,77.3,3.90090411,23.8090411
12.7,77.4,3.90090411,23.8090411
12.7,77.5,3.90090411,23.8090411
12.7,77.6,3.90090411,23.8090411
12.7,77.7,3.90090411,23.8090411
12.7,77.8,3.90090411,23.8090411
12.7,77.9,4.535123288,24.19769863
12.7,78,4.535123288,24.19769863
12.7,78.1,4.535123288,24.19769863
12.7,78.2,4.535123288,24.19769863
12.7,78.3,4.535123288,24.19769863
12.7,78.4,4.535123288,24.19769863
12.8,75,11.0450411,26.49967123
12.8,75.1,11.0450411,26.49967123
12.8,75.2,11.0450411,26.49967123
12.8,75.3,11.0450411,26.49967123
12.8,75.4,7.129835616,23.02832877
12.8,75.5,7.129835616,23.02832877
12.8,75.6,7.129835616,23.02832877
12.8,75.7,7.129835616,23.02832877
12.8,75.8,7.129835616,23.02832877
12.8,75.9,7.129835616,23.02832877
12.8,76,4.766657534,22.55665753
12.8,76.1,4.766657534,22.55665753
12.8,76.2,4.766657534,22.55665753
12.8,76.3,4.766657534,22.55665753
12.8,76.4,4.766657534,22.55665753
12.8,76.5,4.766657534,22.55665753
12.8,76.6,5.246410959,23.40358904
12.8,76.7,5.246410959,23.40358904
12.8,76.8,5.246410959,23.40358904
12.8,76.9,5.246410959,23.40358904
12.8,77,5.246410959,23.40358904
12.8,77.1,5.246410959,23.40358904
12.8,77.2,4.19369863,23.14410959
12.8,77.3,4.19369863,23.14410959
12.8,77.4,4.19369863,23.14410959
12.8,77.5,4.19369863,23.14410959
12.8,77.6,4.19369863,23.14410959
12.8,77.7,4.19369863,23.14410959
12.8,77.8,4.19369863,23.14410959
12.8,77.9,5.071890411,23.18934247
12.8,78,5.071890411,23.18934247
12.8,78.1,5.071890411,23.18934247
12.8,78.2,5.071890411,23.18934247
12.8,78.3,5.071890411,23.18934247
12.8,78.4,5.071890411,23.18934247
12.9,75,11.0450411,26.49967123
12.9,75.1,11.0450411,26.49967123
12.9,75.2,11.0450411,26.49967123
12.9,75.3,11.0450411,26.49967123
12.9,75.4,7.129835616,23.02832877
12.9,75.5,7.129835616,23.02832877
12.9,75.6,7.129835616,23.02832877
12.9,75.7,7.129835616,23.02832877
12.9,75.8,7.129835616,23.02832877
12.9,75.9,7.129835616,23.02832877
12.9,76,4.766657534,22.55665753
12.9,76.1,4.766657534,22.55665753
12.9,76.2,4.766657534,22.55665753
12.9,76.3,4.766657534,22.55665753
12.9,76.4,4.766657534,22.55665753
12.9,76.5,4.766657534,22.55665753
12.9,76.6,5.246410959,23.40358904
12.9,76.7,5.246410959,23.40358904
12.9,76.8,5.246410959,23.40358904
12.9,76.9,5.246410959,23.40358904
12.9,77,5.246410959,23.40358904
12.9,77.1,5.246410959,23.40358904
12.9,77.2,4.19369863,23.14410959
12.9,77.3,4.19369863,23.14410959
12.9,77.4,4.19369863,23.14410959
12.9,77.5,4.19369863,23.14410959
12.9,77.6,4.19369863,23.14410959
12.9,77.7,4.19369863,23.14410959
12.9,77.8,4.19369863,23.14410959
12.9,77.9,5.071890411,23.18934247
12.9,78,5.071890411,23.18934247
12.9,78.1,5.071890411,23.18934247
12.9,78.2,5.071890411,23.18934247
12.9,78.3,5.071890411,23.18934247
12.9,78.4,5.071890411,23.18934247
13,75,11.0450411,26.49967123
13,75.1,11.0450411,26.49967123
13,75.2,11.0450411,26.49967123
13,75.3,11.0450411,26.49967123
13,75.4,7.129835616,23.02832877
13,75.5,7.129835616,23.02832877
13,75.6,7.129835616,23.02832877
13,75.7,7.129835616,23.02832877
13,75.8,7.129835616,23.02832877
13,75.9,7.129835616,23.02832877
13,76,4.766657534,22.55665753
13,76.1,4.766657534,22.55665753
13,76.2,4.766657534,22.55665753
13,76.3,4.766657534,22.55665753
13,76.4,4.766657534,22.55665753
